,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
48,1032,2022050323,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.8316,mg/L,7.1483,pH,0.0505,NTU
49,1031,2022050323,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7872,mg/L,7.2676,pH,0.0554,NTU
50,1030,2022050323,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8267,mg/L,7.4872,pH,0.0496,NTU
51,1029,2022050323,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0612,pH,0.0773,NTU
52,1028,2022050323,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.9104,mg/L,7.0162,pH,0.0600,NTU
53,1027,2022050323,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.9405,mg/L,7.3687,pH,0.0548,NTU
54,1026,2022050323,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8351,mg/L,7.1918,pH,0.0545,NTU
55,1025,2022050323,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5289,mg/L,7.0942,pH,0.0444,NTU
56,1024,2022050323,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.4799,pH,0.1555,NTU
57,1023,2022050323,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0101,mg/L,7.3114,pH,0.9522,NTU
58,1022,2022050323,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8461,mg/L,7.6327,pH,0.0610,NTU
59,1021,2022050323,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.8911,mg/L,7.5566,pH,0.0684,NTU
60,1020,2022050323,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8325,mg/L,7.2418,pH,0.0728,NTU
61,1019,2022050323,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7374,mg/L,7.1117,pH,0.0688,NTU
62,1018,2022050323,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.5614,mg/L,7.0307,pH,0.3096,NTU
63,1017,2022050323,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7170,mg/L,7.2910,pH,0.0516,NTU
64,1016,2022050323,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9167,mg/L,7.5703,pH,0.0467,NTU
65,1015,2022050323,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6650,mg/L,6.7885,pH,0.0809,NTU
66,1014,2022050323,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.1504,mg/L,7.6351,pH,0.4628,NTU
67,1013,2022050323,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7307,mg/L,7.1761,pH,0.0647,NTU
68,1012,2022050323,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5472,mg/L,7.5672,pH,0.0362,NTU
69,1011,2022050323,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6987,mg/L,7.4397,pH,0.0369,NTU
70,1010,2022050323,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5486,mg/L,7.7359,pH,0.0885,NTU
71,1009,2022050323,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5652,pH,0.1870,NTU
72,1008,2022050323,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8430,mg/L,7.5559,pH,0.0642,NTU
73,1007,2022050323,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8853,mg/L,7.6546,pH,0.0510,NTU
74,1006,2022050323,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.4320,mg/L,7.2802,pH,0.6073,NTU
75,1005,2022050323,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7261,mg/L,7.4458,pH,0.0685,NTU
76,1004,2022050323,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0290,mg/L,7.4270,pH,0.5349,NTU
77,1003,2022050323,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7126,mg/L,7.2299,pH,0.0247,NTU
78,1002,2022050323,반월정수장,4127112311,경기도 안산시 상록구,생활정수,0.9951,mg/L,7.4165,pH,0.0533,NTU
79,1001,2022050323,자인정수장,4729012339,경산시 자인면,생활정수,0.6814,mg/L,6.9329,pH,0.0678,NTU
80,1000,2022050323,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.9280,mg/L,7.2128,pH,0.0397,NTU
81,999,2022050323,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8575,mg/L,7.4044,pH,0.0451,NTU
82,998,2022050323,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.9817,mg/L,7.5907,pH,0.0609,NTU
83,997,2022050323,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8796,mg/L,7.3433,pH,0.0414,NTU
84,996,2022050323,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7480,mg/L,7.0737,pH,0.0650,NTU
85,995,2022050323,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9479,mg/L,7.5742,pH,0.0584,NTU
86,994,2022050323,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8631,mg/L,7.8537,pH,0.0387,NTU
87,993,2022050323,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.8001,mg/L,7.4936,pH,0.0511,NTU
88,992,2022050323,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8410,mg/L,6.7938,pH,0.0312,NTU
89,991,2022050323,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7546,mg/L,7.1535,pH,0.0419,NTU
90,990,2022050322,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9304,mg/L,7.5798,pH,0.0452,NTU
91,989,2022050322,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0604,pH,0.0770,NTU
92,988,2022050322,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.9291,mg/L,7.3674,pH,0.0516,NTU
93,987,2022050322,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7298,mg/L,7.4479,pH,0.0687,NTU
94,986,2022050322,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0303,mg/L,7.4168,pH,0.5215,NTU
95,985,2022050322,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7296,mg/L,7.1823,pH,0.0647,NTU
96,984,2022050322,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5387,mg/L,7.6151,pH,0.0367,NTU
97,983,2022050322,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6955,mg/L,7.4414,pH,0.0365,NTU
98,982,2022050322,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5456,mg/L,7.7376,pH,0.0886,NTU
99,981,2022050322,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8912,mg/L,7.0036,pH,0.0600,NTU
100,980,2022050322,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5238,mg/L,7.0925,pH,0.0459,NTU
101,979,2022050322,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8456,mg/L,7.6404,pH,0.0610,NTU
